Link,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,04-09-2025 18:01,Howrah,West Bengal,India,Circle,Seen from the window of a flat on the fourth floor of the apartment.,04-09-2025,,
Open,04-05-2025 22:15,Dindigul,Tamil Nadu,India,Circle,Strange Circle of Lights in Night Sky,04-05-2025,Y,Searchlight
Open,03/18/2025 20:06,Haridwar,Uttarakhand,India,Triangle,"Saw a silent, transparent/black triangular craft at night with 3 lights underneath it; vanished quickly.",03/18/2025,,
Open,03/18/2025 05:00,Ranchi,Jharkhand,India,Disk,I was waiting for my father when i saw a disk like object flying and it suddenly got missing .,03/18/2025,,
Open,03-11-2025 19:17,Gurugram,Haryana,India,Circle,Glowing Orb,03-11-2025,Y,ISS
Open,02-01-2025 23:59,Bengaluru,Karnataka,India,Unknown,"It looked like a drone ( I thought it was one , emitting white or red light , sometimes green ).",02-03-2025,,Drone?
Open,02-01-2025 18:05,Bengaluru,Karnataka,India,Cigar,I went to get my dry cleaned bed sheets from top of my house I saw the object moving at a speed of F-16 800-900 miles per hour,02-01-2025,,
Open,01/29/2025 20:36,Bheelon Ka Bedla,Rajasthan,India,Orb,"i saw several UFO coming from down to up, they flies randomly anywhere ,they are visible only for 4-5seconds then disappear",01/30/2025,Y,
Open,01/18/2025 18:15,Sunkarametta,Andhra Pradesh,India,Other,I was on a trip with my friends and we saw a flying object and took a picture of it,01/22/2025,Y,
Open,01-09-2025 19:28,Rajkot,Gujarat,India,Circle,Unidentified blue bigger than moon object with halo around it.,01-09-2025,Y,Camera Anomaly?
Open,01-04-2025 18:12,Bengaluru,Karnataka,India,Unknown,It looked like it was burning,01-04-2025,,
Open,12/24/2024 20:49,Thrissur,Kerala,India,Circle,"Saw the circle, noticed only 2, not clear to bare eye but noticeable, constantly colour changing and flashing",12/24/2024,,
Open,12/23/2024 23:03,Pune,Maharashtra,India,Circle,I saw there was a bright light above my balcony when i was going to hang my underwear to dry. Saw a blue light,12/23/2024,,
Open,12/22/2024 19:13,Kaniyapuram,Kerala,India,Disk,"Disk shaped object, blinking one red and two white lights, circling a specific area for hours.",12/22/2024,,
Open,12/21/2024 19:03,Kerala,,India,Star,"UAP spotted over Kerala, India",12/22/2024,,Satellite?
Open,12/21/2024 17:04,Jaipur,Rajasthan,India,Circle,I was flying kites and I see a circle white thing apear I thought it was plane when I check flight radar it was not,12/21/2024,,
Open,12/16/2024 17:30,Dibrugarh,Assam,India,Circle,Suddenly see the object coming from the star,12/18/2024,Y,
Open,12/16/2024 17:20,Nagaon,Assam,India,Circle,It was moving silently no sound nothing just a white circular light moving to the southward direction.,02/17/2025,Y,Aircraft?
Open,12/14/2024 17:52,Gurugram,Haryana,India,Cube,Low altitude 6 flying crafts,12/14/2024,Y,Balloon
Open,12-12-2024 17:20,Bengaluru,Karnataka,India,Egg,Saw a black ball remaining stationary for around 30 minutes in the air. It is sure that it is not an aircraft.,12-12-2024,Y,
Open,12-02-2024 21:37,Kanpur,Uttar Pradesh,India,Changing,Blinking lights could have been Morse code,12-03-2024,Y,
Open,10/31/2024 22:50,Howrah,West Bengal,India,Formation,7 grey orbs flying in formation of a diamond from which a single orb moved away making the formation look like a triangle.,10/31/2024,,
Open,10/23/2024 23:30,Delhi,Delhi,India,Triangle,I saw a white/translucent boomerang shaped aircraft which disappeared within 6-8 seconds but it looked like it was going farther away,10/23/2024,,
Open,10-06-2024 19:06,Hamirpur,Himachal Pradesh,India,Chevron,Chevron shape but its arms were long thin and have little curve in it,10-06-2024,Y,
Open,10-04-2024 19:40,Virar,Maharashtra,India,Circle,"Bigger and bright than comet, speedier than rocket. Vanished in thin air in 2-3 secs. Sky was not cloudy.",10-04-2024,,
Open,09/19/2024 19:23,Mumbai,Maharashtra,India,Star,It appeared to be a star which kept getting brighter and brighter and BRIGHTER and then started rising up getting and vanished w zigzag,02/18/2025,,
Open,09-04-2024 01:01,Raipur,Chhattisgarh,India,Unknown,"Fast Moving , circular pattern , moving in swirls extreme fast , disappeared after unknown path within 15 minutes like vanish",09-03-2024,Y,
Open,08/29/2024 23:50,Surat,Gujarat,India,Circle,"Saw 2 small, erratic white lights in night sky, no planes on radar; too high for drones",08/29/2024,Y,
Open,08/19/2024 20:04,Chennai,Tamil Nadu,India,Circle,Saw a circle shaped UFO with 6 bright green lights,08/20/2024,Y,
Open,08/19/2024 19:30,Visakhapatnam,Andhra Pradesh,India,Diamond,Hovering for a long time more than 45 minutes every day at nights at 7:00 pm and early mornings at 4:15 am.,08/18/2024,,
Open,07/24/2024 20:19,Erode,Tamil Nadu,India,Circle,I thought it was a meteorite but it came fast and stopped for 2 or 3 seconds and then went fast,07/24/2024,,
Open,07/20/2024 20:00,Aduthurai,Tamil Nadu,India,Unknown,4 objects they fly same place around 10 to 15 minutes,09-01-2024,,
Open,07-12-2024 00:08,Sathyamangalam,Tamil Nadu,India,Light,10 mints,07-11-2024,Y,
Open,07-06-2024 19:50,Erumeli,Kerala,India,Light,A bright white star like object moviing faster than the speed of a plane.,07-07-2024,,Satellite?
Open,06-05-2024 08:30,Nathdwara,Rajasthan,India,Circle,We were seeing laser show at Statue of Belief and suddenly we saw in the 6 circle like discs going high in the sky.,06-05-2024,Y,
Open,05/31/2024 22:50,Nashik,Maharashtra,India,Disk,We saw at night no clouds clear sky suddenly we saw a bright shining white disk shaped object slowly moving and suddenly wanished.,05/31/2024,,
Open,05/28/2024 22:52,Konnaiyur,Tamil Nadu,India,Cone,We both saw the V shape ufo. It has white light glowing in circles shape.,05/28/2024,,
Open,05-04-2024 19:10,Mangaluru,Karnataka,India,Light,Bright light object looked like a satellite. Moving at the speed of a satellite. But irregular patterns,05-04-2024,Y,
Open,05-01-2024 22:30,,Delhi,India,Star,Saw 20-30 stars emerge in from the Auriga constellation and travel and turned conspicuously east of Star Capella,05-01-2024,,
Open,04-10-2024 22:30,,Tamil Nadu,India,Star,"Off white star gliding across the sky taking 3-4 smooth turns before fading away ,no tail ,no sound ,moving south bw constellation",04-09-2024,,
Open,04-01-2024 18:15,Thamarassery,Kerala,India,Orb,On April I 6:15 AM a very shiny white orb which has a very shiny aura coming from it like 4 tails was falling to the ground,01-07-2025,,
Open,02/16/2024 12:30,Uttarpara,West Bengal,India,Circle,The object seen at midnight was blinking continuously . Upon zooming in with the phone it's colour appeared to change drastically.,02/17/2024,Y,
Open,02-05-2024 19:10,Dhanora Mhali,Maharashtra,India,Diamond,I was sitting at my terrace using my phone when i saw the fast moving object in the sky,02-05-2024,Y,
Open,02-05-2024 18:59,Hyderabad,Telangana,India,Unknown,it just moved down and moved left side afterthat it's just disappeared.,02-05-2024,,
Open,12/27/2023 19:50,Aranmula,Kerala,India,Light,I was coming out of my house. While looking up the sky I saw lights flashing like torch lights and I was curious and I stayed there,12/27/2023,,
Open,12/24/2023 08:00,Vadodara,Gujarat,India,Oval,"I saw a flying object without any lights, came towards land slowly with huge size, then moved other side suddenly with slow-steady pace",12/29/2023,,
Open,11/24/2023 20:07,Chennai,Tamil Nadu,India,Disk,"It was noticed my a guy , like a light moving at same speed ,same distance and direction again and again and he informed everyone near",11/24/2023,Y,Searchlight
Open,11/17/2023 18:49,Noida,Uttar Pradesh,India,Circle,I saw it when I was playing in park with my friends when saw a circle shaped object which was quite fast.,11/20/2023,,
Open,11-08-2023 10:08,,Andhra Pradesh,India,Cylinder,It was a nice day when i saw in the sky i saw sliver object in cylindrical shape & so bright moving fastely from south to north.,02-04-2024,,
Open,11-01-2023 09:07,Pune,Maharashtra,India,Triangle,Flying triangle,11-01-2023,,
Open,10/23/2023 19:15,Khapa,Maharashtra,India,Circle,A UFO seen at evening by me and my friend,10/25/2023,,Planet/Star?
Open,10/13/2023 20:48,Bangalore,Karnataka,India,Star,A star that moved in circles,10/14/2023,,
Open,10-11-2023 23:45,Nanded,Maharashtra,India,Circle,Silver shinning craft (Flying Object) in shape of circle was seen flying and then it speeds up and flew away and disappeared,10-12-2023,,
Open,09-02-2023 11:55,Chennai,Tamil Nadu,India,Disk,ISRO rocket gets buzzed by ufo,03/31/2024,Y,
Open,08/29/2023 12:45,Mumbai,Maharashtra,India,Cross,Cross shaped bright object moving across the sky from high to low and left to right. Stationary for sometime and resuming movement,08/29/2023,,
Open,07-11-2023 23:55,village,Punjab,India,Fireball,golden light moving at a constant speed .,07/13/2023,Y,
Open,06/21/2023 19:02,Hyderabad,Telangana,India,Disk,It was a disk like thing flying and it suddenly disappeared into clouds afterwards no clue of that UFO,07/27/2023,Y,
Open,06-10-2023 20:42,Salem,Tamil Nadu,India,Triangle,Me and my wife saw a triangle shaped object with no lights and no sound flew slowly in low height on North East direction.,06-10-2023,,
Open,06-10-2023 19:44,Lonavala,Maharashtra,India,Light,mysterious light hovering,06-12-2023,Y,Planet/Star
Open,06-09-2023 21:30,Erode,Tamil Nadu,India,Sphere,Sphere shaped ball flying in a height of a normal bird fly at a speed of overspeed car which can be identified by the naked eye.,06-12-2023,,
Open,06-06-2023 19:35,Erumely,Kerala,India,Sphere,A glowing sphere moving relatively very fast but moving uniformly. Size and brightness is more than the brightest star visible.,06-10-2023,,
Open,05/22/2023 18:51,Kolkata,West Bengal,India,Rectangle,I was taking a picture of moon and when I looked at the picture i was shocked.,05/22/2023,Y,Camera Anomaly
Open,05/17/2023 23:00,Tadepalligudem,Andhra Pradesh,India,Cube,"We are watching the night sky suddenly there is a object which is very tiny to naked eye ,i thought it is a aeroplane but it is not.",05/17/2023,Y,
Open,05/16/2023 19:58,Varanasi,Uttar Pradesh,India,Triangle,"Triangle shape object, black in colour with green colour lights at 3 corners and 1 in the centroid and changed its position slowly",05/18/2023,Y,
Open,05-08-2023 23:30,Thrissur,Kerala,India,Other,"At 11.30, I was standing in my balcony, and saw a V shaped light in the sky, which disappeared after almost15 sec.",07/23/2023,,
Open,04-04-2023 20:00,Pithoragarh,Uttarakhand,India,Disk,"A UFO saucer of silvery white color, projecting silvery fluid outside.",01/14/2025,,
Open,03/25/2023 19:06,Mumbai,,India,Oval,An unknown object was observed in the sky.,03/25/2023,,
Open,03-11-2023 23:34,Manali,Himachal Pradesh,India,Changing,There was an object moving rapidly in the sky and changing shape.,03-11-2023,Y,
Open,02-03-2023 19:20,"Village : Cheetakheda, Tehsil : Jeeran, District : Neemuch",Madhya Pradesh,India,Star,Saw multiple stars attached together like train,02-03-2023,,
Open,02-02-2023 19:12,Jaipur,Rajasthan,India,Rectangle,A lighted rectangular banner type shape in the sky,02-02-2023,Y,
Open,02-02-2023 19:07,Bhopal,Madhya Pradesh,India,Rectangle,While Looking at Venus and Jupiter SW in night sky I saw UFO / Alien Space Ship entering from the southern Horizon traveling North.,02-03-2023,Y,
Open,01/23/2023 19:00,Anuppur,Madhya Pradesh,India,Triangle,It was something different. Triangle shape with lots of light and was at a height where even drones can't reach.,08/19/2024,Y,Drone?
Open,01/15/2023 20:24,Gurugram,Haryana,India,Circle,It was moving in circular motion,01/15/2023,,
Open,01/13/2023 18:06,paonta sahib,Himachal Pradesh,India,Light,i,01/13/2023,Y,
Open,01/13/2023 01:36,Bengaluru,Karnataka,India,Star,It looks like a cluster of stars and is stationery,01-12-2023,Y,
Open,12/22/2022 10:50,Ahmedabad,,India,Unknown,"It was moving very fast, and travelling speed and direction was uneven",12/22/2022,,
Open,12/20/2022 03:01,Arambol,Goa,India,Unknown,I did not see craft I had a contact in my room where I was staying,01/18/2023,,
Open,11/20/2022 18:01,Thane,Maharashtra,India,Unknown,This was not an aircraft. Please check the video.,12/22/2022,,
Open,10/27/2022 02:05,"Navsari, Village - Kangwai",Gujarat,India,Circle,Circular object hovering on top of my village located in a very rural area.,10/26/2022,,
Open,10/23/2022 15:02,Thane,Maharashtra,India,Triangle,"It was like a triangular craft but with evident curves, metallic object and the sunlight was reflecting off it or I couldn't have seen",10/23/2022,,
Open,10/16/2022 21:40,Ghulewadi Sangamner,Maharashtra,India,Changing,Me and my friends seen constant light in clouds. We have seen light not lighting. The exact shape of light is not over familiar.,10/18/2022,Y,
Open,10-09-2022 08:35,Kolkata,,India,Circle,A reddish dot in the sky flying along the West moving from South to North,10-09-2022,,
Open,10-08-2022 19:30,Kolkata,,India,Light,Light moving and disappeared,10-08-2022,,
Open,10-07-2022 00:30,Vidisha,Madhya Pradesh,India,Fireball,"Both craft were light circle moving each other,as taking round of one another..",10-07-2022,,
Open,09/13/2022 19:27,Chandigarh,Chandigarh,India,Circle,Similar to a shining star and going in a straight line.,09/13/2022,,
Open,08/29/2022 19:33,Chandigarh,Chandigarh,India,Circle,Similar to a star and going in a straight line.,08/29/2022,,
Open,08/27/2022 19:30,Meerut,Uttar Pradesh,India,Sphere,Disppearance of 1 uap sphere shaped,08/27/2022,,
Open,08/17/2022 19:40,Meerut,Uttar Pradesh,India,Sphere,Appearance of 1 uap fast moving,08/17/2022,,
Open,08/17/2022 19:20,Meerut,Uttar Pradesh,India,Sphere,"Initially there was 1 uap than 2 more appeared, later on 3 more were there",08/16/2022,,
Open,08-11-2022 00:01,Penumuli,Andhra Pradesh,India,Other,It's complicated. I came back from the US with schizophrenia. But it's probably the virus. I am not sure. It's no safe.,09/23/2022,Y,
Open,07/22/2022 21:24,Pimpri-Chinchwad,Maharashtra,India,Formation,Formation of lights,07/22/2022,,
Open,07-11-2022 23:30,KOLKATA,,India,Light,"A light larger and brighter than star.when zoomed in mobile camera, the pattern was changing",07/15/2022,Y,
Open,06/25/2022 03:47,Delhi,Delhi,India,Circle,2 circular moving objects in the sky,08/15/2022,Y,
Open,06/24/2022 03:30,Kotdwar,Uttarakhand,India,Other,"It was early morning 3:30 am my sister and mom was sleeping on the roof and they wokeup as their daily routine ,then they saw two",06/25/2022,,
Open,06/18/2022 23:26,Pune,Maharashtra,India,Cross,The flying object was hovering slowly over Pimpri Chinchwad (Pune). It has no noise at all. Just the lights were flashing in crisscross,09/16/2022,,
Open,06/17/2022 23:08,Gurgaon,Haryana,India,,"Unidentified flying object oversky in Gurgaon, india",06/17/2022,Y,
Open,06/17/2022 22:11,Jaipur,Rajasthan,India,Triangle,They come in group and flies without any noice or smoke. Suddenly appears from nowhere.,06/17/2022,Y,
Open,06-06-2022 21:30,kotdwara,Uttarakhand,India,Other,"Hazy night sky - two circular lights very dim lights visible bcz of haze , main body was invisible ,skateboard shaped i assumed",06-05-2022,Y,
Open,06-01-2022 15:00,Port Blair,Andaman and Nicobar Islands,India,Circle,That was a UFO lot's of people saw that,08/23/2022,Y,
Open,05/23/2022 21:54,Thane,Maharashtra,India,Triangle,saw a 2 light in triangle shape,05/23/2022,Y,
Open,05-02-2022 23:50,Betwar,Uttar Pradesh,India,Circle,"A strange disc moving clockwise in high altitude, covering distance from one hemisphere of the sky to the other in seconds",06/26/2024,Y,
Open,04/27/2022 19:35,Gomathimuthupuram,Tamil Nadu,India,Circle,A green light are moving in the sky,04-01-2024,,
Open,04/26/2022 21:50,Madhubani,Bihar,India,Light,Red lighted object with strange movements,04/27/2022,Y,
Open,04/23/2022 17:03,Bangalore,Karnataka,India,Unknown,"A small, dark object flew quickly across the sky in daylight.",04/24/2022,Y,
Open,04/15/2022 18:47,Chennai,Tamil Nadu,India,Disk,Saw a disk with lights in sky ((NUFORC Note: Possible lns flare. PD)),04/16/2022,Y,
Open,04-02-2022 19:50,Jhabua,Madhya Pradesh,India,Disk,from local market of jiran,04-02-2022,,
Open,04-01-2022 20:00,Pimpri-Chinchwad,Maharashtra,India,Formation,4 yellow lights followed by single red light just behind (stable lights),04-01-2022,,
Open,04-01-2022 20:00,Pimpri-Chinchwad,Maharashtra,India,Formation,Formation on 5 lights,04-07-2022,Y,
Open,03/15/2022 19:15,Hoshiarpur (India),Punjab,India,Triangle,Medium size triangular ufo with dim lights on side,03/15/2022,Y,
Open,02/14/2022 06:10,Channarayapattana (India),Karnataka,India,Unknown,A 'S' shaped glowing light in the horizon during early morning.,03-05-2022,Y,
Open,02-06-2022 07:00,Delhi (India),Delhi,India,Light,5 minutes,02-07-2022,,
Open,01-06-2022 17:07,Port Blair,Andaman and Nicobar Islands,India,Circle,One round white in colour object in the sky,01-09-2022,Y,
Open,12/18/2021 16:15,Jalpaiguri (India),,India,Other,It looked like a hockey stick oscillating like a pendulam. The two crafts suddenly collided and there was light which moved Northwards.,12/19/2021,Y,
Open,12-03-2021 18:30,Dehradun,,India,Cigar,Saw a long trail of light moving along the sky from one place to another,12-03-2021,Y,Starlink
Open,11-01-2021 20:35,Karnatakaa (Chamarajanagar)(India),,India,Triangle,It was triangle shape with ten bright white lights around it.,11-02-2021,,
Open,10/17/2021 14:49,Nadia (India),,India,Other,"Sophisticated aircraft like objects among clouds in Nadia, WB, India. ((NUFORC Note: Possibly two dragonflies caught in flight?? PD))",10/19/2021,,
Open,06/22/2021 01:00,Senji,IN,India,Flash,I have that ufo video video as recorded 43 second... But im in India. you can't added my country in your center please contact with my,06/22/2021,,
Open,06/22/2021 01:00,Senji (India),,India,Flash,I have that ufo video video as recorded 43 second... But im in India. you can't added my country in your center please contact with my,06/22/2021,,
Open,06/13/2021 20:30,Aligarh (India),Uttar Pradesh,India,Disk,Seen on a strange mountain area that is far from human reach.,01/31/2022,Y,
Open,05/15/2021 06:10,Kakinada (India),,India,Oval,Spotted UFO from close distance while jogging on beach,05/17/2021,,
Open,05-09-2021 19:30,Chennai,Tamil Nadu,India,Light,Small bright whight light,08-05-2022,,
Open,05-08-2021 01:02,Fort Warangal (India),,India,Triangle,"Hi sir I'm ((deleed)) iam tolking from india. unexpectedly i see the one triangle object in the sky ,that object traveling N to E",08-04-2021,,
Open,04/22/2021 21:00,Firozabad (India),,India,Changing,Boomerang like shaped with five lights made a speed big heart like path and suddenly distriduted and vanished,04/22/2021,,
Open,04-10-2021 18:00,,,India,Fireball,When I saw it its falling from the sky and it was a huge ball of fire and after a 10 seconds it disapear and was never seen again,06-06-2023,,
Open,03-05-2021 19:47,Raigad (India),,India,Unknown,"Hello there, I am learner of UFO and Extraterrestrials in India and around the world. We found an UFO roaming around our country in In",04/26/2021,,
Open,02/19/2021 19:34,Patna (India),,India,Circle,There was a circle object having 8 red lights glowing in the night sky. But it just disappeared after I captured in in my camera.,02/19/2021,,
Open,01/31/2021 17:45,Bhadohi,,India,Oval,((NUFORC Note: No significant information provided by witness. PD)),01/31/2021,,
Open,10-05-2020 18:45,Chandigarh (India),,India,Triangle,We saw a big boomerang shaped craft above us (INDIA) 5-10-2020,10-08-2020,,
Open,08/31/2020 19:26,Delhi (India),,India,Teardrop,"I observed a small dot of light moving with very fast velocity, coming from west direction and it disappeared in NE direction.",08/31/2020,,
Open,07/22/2020 19:50,Erode (India),,India,Light,flying object like a star,07/22/2020,,
Open,07-12-2020 20:30,Ferozpur (Punjab)(India),,India,Disk,Red blinking object seen moving in the sky up and down slanting nd curved manner from East to North East nd disappeared after 2-4 mins,07/13/2020,,
Open,07-09-2020 21:56,Surat,Gujarat,India,Circle,Small Irregularly Flashing and moving Orb/Circle,08/24/2023,Y,
Open,05/25/2020 20:03,Indore (India),,India,Circle,Seen a bright spot travelling from east to west,05/25/2020,,
Open,05/15/2020 19:25,Indore City (India),,India,,Seen a bright spot travelling from east to north but slightly larger in size and lower altitude,05/15/2020,,
Open,05-09-2020 21:40,Chennai (India),,India,Changing,"Faintly visible shape-shifting UFO with no illumination at a height of 15000 ft, moving erratically over Chennai, India",05-10-2020,,
Open,04/22/2020 02:00,Bangalore (India),,India,Triangle,I spotted something incredible on 22nd of April 2020 around 2:00am to 2:15 am in the morning. It was a massive triangular shaped object,05/17/2020,,
Open,04/19/2020 21:35,Baraut (India),,India,Triangle,I am sure I saw UFO. It was triangle and transparent from middle.,04/19/2020,,
Open,04/19/2020 18:40,Kochi (India),,India,Cigar,Cigar like thing observed in western Sky over Kochi,04/20/2020,,
Open,04/14/2020 04:45,Indore City (India),,India,Unknown,Seen a bright spot travelling from west to east,05/13/2020,,
Open,04/13/2020 22:45,Bangalore (India),,India,Formation,Flying Birds with lights sighted @ night moving in group in bangalore ((Starlink satellites?)),04/13/2020,,
Open,04-08-2020 19:45,Jaipur (India),,India,Light,One white star like light which was moving faster but i saw it for 5 - 10 minutes in sky in night time,05-01-2020,,
Open,04-05-2020 21:00,Bangalore (India),,India,Flash,A red/white and green star kind of an object rotating at a very high speed and changing colours. ((NUFORC Note: Sirius. PD)),04-05-2020,,
Open,03/14/2020 19:40,Indore City (India),,India,,Bright spot criss crossing each other and followed by 2 sightings,03/14/2020,,
Open,03-12-2020 19:20,Indore City (India),,India,Circle,I get what I want?,03-12-2020,,
Open,03-08-2020 15:46,Thoubal (India),,India,Triangle,A black kite like object hovered above me and disappeared within some seconds.,03-08-2020,,
Open,03-05-2020 19:43,Raigad (India),,India,Disk,While sky watching my camera caught 5 mysterious lights in that had a blue flame. They stayed for 2 mins and vanished upwards. These li,03-07-2020,,
Open,03-02-2020 19:30,Indore (India),,India,,Seen two bright spot the size of a little star moving very fast one followed by another and then disappeared deep in space.,03-02-2020,,
Open,02/18/2020 19:00,Goa (India),,India,Flash,I was there at Baga beach in Goa. That time around 7pm I saw two flashes in the sky. ((anonymous)),02/29/2020,,
Open,01-12-2020 18:20,Rourkela (India),,India,Light,"I AM A SKY GAZER AND I LOVE TO SEE STARS. ((""Starlink: satellites??))",01/13/2020,,
Open,01-09-2020 13:49,Bangalore (India),Karnataka,India,Changing,Midnight sighting,01/17/2022,,
Open,01-05-2020 00:05,Kolkata (India),,India,Other,Saw an illuminated glow near the horizon of the north western sky around midnight. First thought was that its the 1998 or2 asteroid but,04/30/2020,,
Open,11/20/2019 23:30,Coimbatore,Tamil Nadu,India,Unknown,"Shapless, floating like jellyfish, red bright objecting has (spider web like design over it(not very sure))",07/30/2023,,
Open,11-12-2019 18:00,Aminpur (India),,India,Light,"42 light dots straight-line going from NW to SE side in the sky of W. Bengal. ((NUFORC Note: Cluster of ""Starlink"" satellites. PD))",11-12-2019,,
Open,11-11-2019 00:41,Raniganj/Pashchim Bardhaman (India),,India,Other,It was 20-30 light like star moving in the sky North to east. And all was moving together like a Flower wreath to the east site of the,11-05-2019,,
Open,11-04-2019 01:15,Belgaum (Karnataka)(India),,India,Triangle,It was around 1:15 - 1:20 am Indian Standard Timing 4th November 2019 when I witnessed the sighting from the terrace of my house locate,11-03-2019,,
Open,11-01-2019 01:06,Mohali (India),,India,Other,Bright circular shaped with flashing tail,10/31/2019,,
Open,10/15/2019 01:00,Pune,NT,India,Flash,Very weird travelling way,10/22/2019,,
Open,08-12-2019 00:15,Lucknow (India),,India,Light,I was going upstairs (second floor) as I get past my balcony I saw a small tiny round shaped white glowing object in the sky about 16 d,08-11-2019,,
Open,08-01-2019 19:55,Kochi (India),,India,Light,I saw something strange white light in sky that closed like a television...it was very bright as I am looking at a star which is too ne,08-01-2019,,
Open,05/19/2019 22:10,Kanker (India),,India,Other,I saw a boomerang shaped shiny UFO FLYING near my building.. It was raining outside. I saw it for just 15 seconds.,11-06-2019,,
Open,05/17/2019 21:45,Panchkula (India),,India,Light,I was doing pushups on the terrace of my house. The sky was dark. No stars were visible. As I stood up for a while to take some rest,05/17/2019,,
Open,05/15/2019 17:00,Theni (India),,India,Flash,I have saw ufo with glittering flash flied from theni in india.it was not look human-made craft.in our country people's are not have kn,01/16/2020,,
Open,05-12-2019 20:55,Jagadhri (India),,India,,Yellowish/orange light dots in triangle with tail shape moving,05-12-2019,,
Open,02-09-2019 11:00,Tirupathi (India),,India,Circle,I captured some images in hill area which contain some unknown objects.,09-02-2019,,
Open,02-04-2019 06:40,Bengaluru (India),,India,Unknown,"UFO like object, with video sighting. ((anonymous report))",02-03-2019,,
Open,01/14/2019 06:24,Gurgaon (Haryana) (India),,India,Unknown,I saw two equidistant lights moving at absolute uniform speed in the same direction (North to South) at 0624 hours.,01/13/2019,,
Open,10/20/2018 01:34,Mumbai (India),,India,Disk,We all friends were in a open place and were shooting. Video. While I was taking the shot i saw 2 blinks in the sky. It was green in co,10/27/2018,,
Open,10-10-2018 20:00,Coimbatore,Tamil Nadu,India,Triangle,Behind college hostel near to the wester ghats hills. Looked up. No engine sound. Just 2 lights. Flew away as soon as I spotted it.,04/17/2025,,
Open,05/26/2018 09:00,Chennai (India),IN,India,Diamond,15 mins 2 obj black and white flying parallal for long time untill aeroplane occurance . It flew slow and had some waves around it.,05/26/2018,,
Open,05/26/2018 06:45,Nasik (India),,India,Disk,It came from nowhere and was floating at one point and was also rotating speedily while moving!!!,12/20/2018,,
Open,05/15/2018 15:25,Raiganj,West Bengal,India,Cylinder,In a cloudy day while taking random video with my newly bought DSLR D5600.,07/30/2023,Y,
Open,05-10-2018 00:00,Rhenock (India),,India,Circle,I saw a moving Green Round UFC like thing i have clicked picture of it.,05-10-2018,,
Open,04/19/2018 21:30,Ludhiana (India),,India,Diamond,"Me and my brother were on night walk. Suddenly we saw yellow coloured diamons shaped lights in sky, first one disappeared and next appe",04/19/2018,,
Open,04-09-2018 00:05,Hyderabad,,India,Circle,Yellowish star like object.,09-03-2018,,
Open,03-04-2018 21:10,Jalandhar (India),,India,Oval,UFO over my home. ((anonymous report)),03-05-2018,,
Open,09-12-2017 20:30,Khammam (India),,India,Circle,I saw ufo flying on the sky with green color 12/09/2017 around 8:30 pm........ ((anonymous report)),09/13/2017,,
Open,09-04-2017 21:20,Ropar (India),,India,Changing,I saw twice this year in April also and september also even my son is of 3.5years old he is so scared after the experience,09-05-2017,,
Open,07-11-2017 01:30,Kovilpatti (India),,India,Rectangle,Rectangular moving object's shadow on the cloud cover under the bright moon,07-11-2017,,
Open,06-12-2017 21:10,Siliguri (India),,India,Light,White flashing light.,06-12-2017,,
Open,06-12-2017 00:00,Karnata Gadak (India),,India,Other,Reported aliens.,07/19/2017,,
Open,06-07-2017 18:00,Ashta (India),,India,Circle,I checked the photo a small circular disk shape object was near my friend's forehead. ((NUFORC Note: We suspect a photo error. PD)),07/22/2018,,
Open,04/17/2017 21:30,Ropar (Punjab)(India),,India,Other,"me,my wife and our son3.5 years old we all were on bike and suddenly my son starts saying plane in the sky the we saw that the light wa",04/17/2017,,
Open,04-11-2017 21:25,India (city not specified),,India,Sphere,Orange sphere shaped object.,04-11-2017,,
Open,03/31/2017 19:13,New Panvel (India),,India,Light,Yellowish dot of light captured in a live photo.,05-01-2017,,
Open,02-10-2017 11:45,Tirunelveli (India),,India,Light,It is a sunny day with a clear sky. A white light sphere shape object moved towards the east side of my house at 11:45 am on 02/10/2017,05/15/2020,,
Open,02-06-2017 20:30,Delhi (India),,India,Diamond,Seen a very bright star for 2.5 hours and then it disappear. ((NUFORC Note: Sighting of Venus? PD)),02-07-2017,,
Open,12/18/2016 17:14,Jeypore (India),,India,Other,((HOAX??)) It was time of sunset when i felt that some thing was flying in the sky. Thought that it might be an aircraft.,01-03-2017,,
Open,12-09-2016 07:15,Pune (India),,India,Cigar,I was waiting for the bus in the morning when I saw a white shining thing flying in the sky it was moving ahead I have captured a video,12-09-2016,,
Open,10/22/2016 21:00,Siolim (Goa) (India),,India,Oval,"Sighting of 6-7 red lights, moving through the nighttime sky. ((NUFORC Note: One of 3 reports from same source. PD))",10/30/2016,,
Open,09/19/2016 20:00,Madurai (India),IN,India,Fireball,Mysterious object that moves in zigzag pattern from east to west direction with bright green coloured tail and red coloured tip.,09/25/2016,,
Open,07/15/2016 21:30,Mhow,,India,Unknown,"Suddenly a white light thing appeared in the sky , first it was moving straight up and then suddenly it changed it route and tturned ri",08/26/2018,,
Open,07-03-2016 04:15,Srinagar (India),,India,Triangle,I saw a light in the sky. First i though it might be airplane but i didn't hear any sound then i saw that i was rotating clock wise and,07-02-2016,,
Open,06-01-2016 22:15,Ahmedabad (India),,India,Cross,A large plane like object seen hovering in the sky for about 5-10 seconds.,06-02-2016,,
