Link,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,11/26/2007 00:00,Jalgaon (India),,India,Fireball,"my mom, me, my dog we were in large open ground. we r walking there.we saw that FireBall in the sky direction of south side.that fire b",12/16/2007,,
Open,11/16/2007 19:15,Bangalore (India),,India,Circle,Star-like circular object moving at great speed,11/16/2007,,
Open,10/14/2007 04:30,Hyderabad (India),,India,Light,"Treasure Island, Gandipet, Hyderabad, 14th October 2007, 4:30 am, Bright Light in the sky moving and blinking every 10 seconds !",10/18/2007,,
Open,10/13/2007 04:50,Noida (India),,India,Fireball,FOOTBALL SHAPED AND SIZED BRIGHT OBJECT IN THE NIGHT SKY,10/13/2007,,
Open,09-12-2007 06:00,Bangalore (India),,India,Sphere,Spherical body shot in the morning sky,09/17/2007,,
Open,08/20/2007 04:50,Kota (India),,India,Other,"Fast moving star, crossed whole sky just in 6 sec.",08-11-2008,,
Open,08-09-2007 21:00,New Delhi (India),,India,Diamond,STAR SHAPED UFO,08-11-2007,,
Open,08-01-2007 08:02,Chhindwara (India),,India,Disk,An Disk-Shaped Ufo,08-03-2007,,
Open,07/16/2007 22:15,Bangalore (India),,India,Unknown,a bright flying object disappeared,07/19/2007,,
Open,07/15/2007 13:00,Mumbai (India),,India,,A CREATURE LIKE ANIMAL HAS BIG EYES NAD LONG NAILS AND MAKES DANGEROUS SOUND BUT NOT AN ANIMAL,08/26/2007,,
Open,07-09-2007 22:00,Karnal (India),,India,Fireball,tv vuideo,07/25/2007,,
Open,07-09-2007 21:00,Karnal (Haryana) (India),,India,Light,Strange lights seen with strong winds and shown by leading news channels in India.,07-10-2007,,
Open,07-08-2007 21:00,Karnal (India),,India,Sphere,"On around 9 pm on 8th July 2007 over a large part of northern india, primarily over Karnal (Kalpana's birthplace) more than an entire c",07-09-2007,,
Open,07-08-2007 20:30,Kurnool (India),,India,Fireball,Two flash lights in sky,07-09-2007,,
Open,05/31/2007 20:30,Delhi (India),,India,Triangle,Bright set of lights. Was of triangular shape. Was slow moving.,06-01-2007,,
Open,05/28/2007 21:00,New Delhi (India),,India,Rectangle,"so i was up on the roof that night by chance and was looking at planes at the distance in the south west direction, and when i was turn",09/26/2011,,
Open,05/28/2007 20:30,Yavatmal (India),,India,Formation,Bunch of 5 beautiful lights with glow making an arrowhead closly seperated by smaller distance parallelly in the sky.,02-01-2010,,
Open,05/28/2007 03:01,Bangalore (India),,India,Circle,"I WAS RETURNING FROM WORK AT 3:00 AM. AFTER MY NIGHT SHIFT IN THE CAB, I SAW MULTI- COLOURED FLIGHT PASSING MY HEAD IN VERY LOW HEIGHT.",06/19/2007,,
Open,05/13/2007 21:40,Chennai (India),,India,Formation,"A moving array of tiny lights past the sky centre line south to north, sighted four times with 2-3 minutes interval.",05/13/2007,,
